Product;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
30E000400_2;-0.06522948817117113;0.10968529479096396;0.24987033456079166;0.22458797528047986;0.13737011085244855;0.1423731567734061;0.24695429210463296;0.2634618632873506;0.11527207317002348;0.055387016375278625;-0.011649145577108007;-0.12487894253302369;-0.2119805414419876;-0.2540911374612592;-0.2827642800730178;-0.26771455559963125
30E823101_2;-0.23955221953389177;-0.2423651690839447;-0.23403273080542794;-0.22550657831945103;-0.25013319027136616;-0.28739494524438564;-0.24586179810603248;-0.21631129420481032;-0.22700709653390125;-0.2306871632387187;-0.2012704909865881;-0.238200377764186;-0.23085390086019159;-0.2487247327040063;-0.25356706359542647;-0.2616726690594001
30E823102_2;-0.2127333377857809;-0.20918340122447054;-0.18861951299212268;-0.20170350096560855;-0.22924711784840826;-0.2719849336182497;-0.18791652722509808;-0.1715167487878518;-0.18391876134067667;-0.1562560984070226;-0.16528395828113931;-0.140133751121834;-0.16668447883829807;-0.1965939436335494;-0.25041060776001123;-0.26544884814704456
30E823103_2;-0.23955221953389177;-0.23912792343911796;-0.21031693928070186;-0.18525773843022644;-0.2172487358181984;-0.24573083973668472;-0.19635515890678756;-0.12613280145751227;-0.10563150444031091;-0.1122446861587153;-0.07739377263513943;-0.14376584840488407;-0.1493209881735504;-0.14752967156723704;-0.13993465352047646;-0.2072956901973204
30E823104_2;-0.22346089048502524;-0.23508136638308452;-0.2330235481873545;-0.24238512407944846;-0.26613103297831264;-0.3313420154374401;-0.3167463042322241;-0.33006586348734973;-0.3477758106670236;-0.3491296403187222;-0.3445245731025092;-0.34280477951602817;-0.34258418861595913;-0.3361204673221252;-0.30801592675634004;-0.2699802630522179
30E823105_2;-0.16445935063918132;-0.18571337029947663;-0.18660114775597578;-0.20689689966099237;-0.21280489062182437;-0.2651360395621893;-0.2914304091871557;-0.3153308156528239;-0.3404932751414082;-0.33877401390735573;-0.32376311192628876;-0.31883293744789765;-0.31691641980720175;-0.28935608300892124;-0.23541744254178862;-0.20805092601484929
30E823106_2;-0.15104990976512592;-0.1938064844115435;-0.19568379131863683;-0.20343463386406982;-0.20924981446472515;-0.2594286278488056;-0.28130405116912827;-0.3023639735584412;-0.3277488379715812;-0.3258294808931477;-0.3126903326323045;-0.31374800125162755;-0.3078572072864638;-0.29702237551928257;-0.2496214938011574;-0.2020090394746182
30E823107_2;-0.1939601205621033;-0.19623441864516356;-0.18660114775597578;-0.20127071774099323;-0.17592097549191998;-0.20463747540032218;-0.22392135573363986;-0.2298675382125741;-0.2791986011341451;-0.2708152155827636;-0.26009463098587937;-0.2432853139604561;-0.26860061969659954;-0.2993222632723909;-0.23541744254178862;-0.19823286038697377
30E823108_2;-0.18591445603767004;-0.1751923219537897;-0.1497659821962948;-0.16578249332253714;-0.14214775199947743;-0.13786075835373302;-0.14684851970754262;-0.15206648564627773;-0.1948425646290998;-0.19379524414822585;-0.18950566298672986;-0.18444533797504492;-0.24595258839475478;-0.27938990274545156;-0.1778121235454598;-0.13630352334960516
30E823109_2;-0.1698231269888035;-0.17923887900982313;-0.15027057350533155;-0.15020229723638567;-0.11281837370340889;-0.09334294698934024;-0.09509157872651383;-0.10373552874903301;-0.17178120213131765;-0.14978383189991856;-0.11199620792884017;-0.08202019459303281;-0.17574369135903598;-0.28322304900063217;-0.17860123750431361;-0.1091150339185653
31A000700_2;0.8761132611875202;0.7385202612985594;0.6752408080787512;0.4236682586035262;0.25779831567418454;0.2941903083494122;0.24020338675928138;0.28880614556273504;0.15957416428418394;-0.03587194137488795;0.06655235818665568;0.21435894370385325;0.0016658871720814088;-0.22265933816877786;-0.30012478716780183;-0.2933925733956133
31A001000_2;0.11982079589079385;0.06598247858580289;0.01422619324064092;-0.04157370785794082;-0.04571631123816115;-0.04768365328227074;-0.015205865473186789;0.061886408911037284;-0.010351664646842505;-0.13230871233073774;0.03264197159882895;0.1823964876130126;0.0628155716870623;-0.05630079069393747;-0.18017946542202126;-0.2586517257892846
31A001100_2;-0.06254759999636005;-0.04489318474951317;-0.07054514667752894;-0.11774355539023681;-0.08082268828951593;-0.03855179454085684;-0.03714630784557943;-0.015914643655259082;-0.06982570477270177;-0.15237273850276017;-0.021337827459344216;0.07198073020829035;-0.05872886296617132;-0.1620956273369235;-0.2543561775542803;-0.2858402152203245
31A001200_2;0.08227436144343864;0.1137318518469974;0.0954653939955537;-0.016039497605637047;-0.015942548422455204;0.06475235747138793;0.05905409332568061;0.0996081313674234;0.008461552127663996;-0.1115974595080049;0.011188461716734486;0.09958466955947091;-0.06703314111018108;-0.2088600116501275;-0.2583017473485494;-0.2586517257892846
31A001300_2;-0.2315065550094585;-0.19218786158913012;-0.17095881717583727;-0.18612330487945708;-0.22969150236804567;-0.27826308650297177;-0.2554255806786139;-0.24754959561400508;-0.24339280146653594;-0.2721096688841844;-0.2940050175737061;-0.20551150221673534;-0.18329303512631756;-0.3146548482931136;-0.3427369409459081;-0.3100077613812488
31A001400_2;-0.22882466683464742;-0.20837408981326386;-0.2047664348812979;-0.21382143125483746;-0.24968880575172875;-0.3085123685839053;-0.2762408721601146;-0.27112567214924643;-0.26948855376665787;-0.29929318821402123;-0.31891877098517063;-0.22875692482825583;-0.22556936022309448;-0.34225350133041427;-0.3356349153162237;-0.3032106390234888
31A001500_2;-0.2100514496109698;-0.19785304146757693;-0.2032526609541877;-0.22074596284868253;-0.2581321116248394;-0.31650274498264247;-0.2784911739418985;-0.27878789702319984;-0.2767710892922733;-0.2967042816111797;-0.3216869658086667;-0.23311544156791592;-0.21877495083254106;-0.3299874333138362;-0.3340566873985161;-0.3009449315709022
