Product;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
31C003002_2;12.0;59.0;92.0;154.0;171.0;158.0;167.0;112.0;65.0;43.0;31.0;15.0;6.0;6.0;3.0;1.0
31C180100_2;123.0;285.0;546.0;556.0;556.0;559.0;347.0;226.0;111.0;105.0;79.0;62.0;103.0;116.0;56.0;21.0
31C180301_2;35.0;239.0;242.0;78.0;76.0;56.0;59.0;72.0;46.0;58.0;90.0;129.0;131.0;90.0;52.0;21.0
31C620400_2;39.0;230.0;305.0;144.0;74.0;59.0;22.0;14.0;9.0;5.0;3.0;1.0;40.0;230.0;305.0;144.0
31C901903_2;9.0;68.0;113.0;92.0;79.0;54.0;23.0;15.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31C999901_2;465.0;1328.0;1265.0;609.0;286.0;141.0;100.0;58.0;43.0;30.0;15.0;59.0;77.0;83.0;95.0;122.0
31C999902_2;84.0;195.0;186.0;91.0;21.0;8.0;4.0;5.0;4.0;1.0;2.0;1.0;0.0;0.0;13.0;35.0
31C999903_2;151.0;449.0;508.0;294.0;122.0;65.0;40.0;20.0;17.0;12.0;5.0;15.0;20.0;28.0;31.0;73.0
31C999904_2;27.0;119.0;153.0;195.0;286.0;1047.0;4076.0;8222.0;11770.0;14756.0;11408.0;7963.0;7257.0;4956.0;3782.0;2444.0
31C999905_2;11.0;41.0;72.0;99.0;127.0;508.0;1736.0;3038.0;3900.0;4363.0;2950.0;1736.0;1542.0;1008.0;747.0;478.0
31C999906_2;47.0;166.0;322.0;811.0;1099.0;996.0;1045.0;1405.0;2298.0;2601.0;2099.0;1724.0;1468.0;1316.0;1010.0;738.0
31C999907_2;36.0;149.0;287.0;608.0;731.0;609.0;599.0;699.0;1177.0;1385.0;1151.0;1072.0;1232.0;1298.0;1007.0;761.0
31C999909_2;7.0;21.0;59.0;155.0;215.0;210.0;234.0;361.0;735.0;935.0;832.0;854.0;732.0;710.0;719.0;540.0
31C999910_2;65.0;447.0;870.0;897.0;648.0;303.0;115.0;69.0;36.0;28.0;36.0;48.0;87.0;447.0;870.0;897.0
31C999911_2;5.0;21.0;78.0;279.0;456.0;490.0;627.0;1316.0;3494.0;4653.0;3841.0;3277.0;2529.0;2356.0;2199.0;1441.0
31C999912_2;9.0;17.0;31.0;86.0;134.0;182.0;217.0;367.0;901.0;1261.0;1169.0;1236.0;1066.0;1047.0;1050.0;667.0
31C999913_2;30.0;116.0;450.0;911.0;1413.0;2193.0;2694.0;4176.0;4453.0;3093.0;2420.0;1711.0;1355.0;1133.0;1114.0;626.0
31C999914_2;15.0;102.0;175.0;252.0;561.0;775.0;748.0;755.0;797.0;947.0;856.0;691.0;1141.0;1309.0;1102.0;1110.0
325001400_2;1.0;3.0;3.0;1.0;0.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0
325002600_2;3.0;5.0;4.0;4.0;6.0;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
325006703_2;1.0;2.0;1.0;0.0;0.0;0.0;0.0;3.0;6.0;3.0;0.0;0.0;2.0;6.0;5.0;1.0
325015903_2;1.0;3.0;2.0;2.0;2.0;3.0;3.0;0.0;0.0;2.0;4.0;3.0;4.0;4.0;1.0;0.0
325017100_2;1.0;3.0;8.0;10.0;4.0;0.0;1.0;3.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
325018000_2;8.0;25.0;28.0;26.0;41.0;94.0;156.0;279.0;728.0;816.0;467.0;394.0;444.0;419.0;258.0;130.0
325018200_2;30.0;63.0;56.0;56.0;92.0;148.0;184.0;227.0;526.0;599.0;399.0;366.0;354.0;319.0;216.0;136.0
325018300_2;3.0;6.0;4.0;1.0;3.0;7.0;7.0;9.0;36.0;55.0;35.0;27.0;34.0;25.0;22.0;19.0
325018400_2;2.0;4.0;4.0;7.0;6.0;4.0;10.0;38.0;42.0;26.0;31.0;46.0;46.0;27.0;15.0;12.0
325018600_2;1.0;1.0;1.0;3.0;5.0;7.0;13.0;11.0;7.0;9.0;4.0;2.0;2.0;0.0;0.0;1.0
325018700_2;1.0;1.0;1.0;1.0;8.0;12.0;12.0;38.0;43.0;17.0;5.0;9.0;12.0;5.0;1.0;0.0
325018900_2;2.0;3.0;1.0;1.0;6.0;6.0;1.0;2.0;5.0;3.0;0.0;0.0;0.0;0.0;5.0;5.0
325019500_2;9.0;24.0;21.0;13.0;79.0;98.0;75.0;82.0;86.0;70.0;42.0;49.0;93.0;85.0;32.0;22.0
325020900_2;32.0;68.0;64.0;36.0;62.0;72.0;60.0;74.0;72.0;73.0;68.0;75.0;78.0;68.0;49.0;21.0
325022400_2;30.0;34.0;4.0;26.0;252.0;271.0;48.0;11.0;20.0;19.0;10.0;13.0;14.0;8.0;11.0;13.0
325026100_2;1.0;2.0;3.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;2.0;2.0;1.0;0.0;0.0;0.0
325026900_2;2.0;2.0;0.0;3.0;6.0;4.0;2.0;2.0;1.0;1.0;6.0;5.0;2.0;2.0;0.0;1.0
325027000_2;1.0;2.0;2.0;3.0;3.0;1.0;0.0;4.0;6.0;4.0;2.0;0.0;0.0;0.0;0.0;1.0
325027600_2;1.0;1.0;0.0;2.0;2.0;1.0;2.0;2.0;1.0;0.0;1.0;3.0;2.0;0.0;1.0;1.0
325028000_2;1.0;1.0;2.0;5.0;7.0;6.0;2.0;1.0;3.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0
325028004_2;1.0;1.0;0.0;0.0;1.0;3.0;6.0;4.0;44.0;45.0;1.0;0.0;33.0;33.0;0.0;0.0
325028005_2;1.0;1.0;0.0;0.0;0.0;3.0;7.0;6.0;2.0;0.0;0.0;1.0;3.0;3.0;2.0;1.0
325028500_2;1.0;3.0;2.0;0.0;0.0;0.0;1.0;6.0;7.0;17.0;16.0;1.0;0.0;0.0;2.0;4.0
325028700_2;2.0;2.0;0.0;3.0;19.0;20.0;7.0;11.0;14.0;6.0;1.0;3.0;3.0;4.0;3.0;0.0
325028800_2;1.0;5.0;5.0;2.0;3.0;6.0;5.0;1.0;21.0;38.0;40.0;32.0;31.0;29.0;16.0;10.0
325029100_2;1.0;1.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;6.0;10.0;10.0;3.0;3.0;9.0;6.0
325029700_2;2.0;3.0;1.0;1.0;3.0;4.0;2.0;4.0;6.0;6.0;15.0;17.0;9.0;3.0;0.0;1.0
325029800_2;1.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;2.0;8.0;7.0;2.0;1.0;2.0;3.0
325030000_2;1.0;1.0;0.0;0.0;0.0;1.0;6.0;8.0;4.0;1.0;0.0;2.0;2.0;0.0;1.0;1.0
325030008_2;4.0;5.0;2.0;2.0;4.0;6.0;6.0;5.0;5.0;3.0;1.0;2.0;1.0;0.0;1.0;9.0
325030800_2;15.0;75.0;61.0;29.0;50.0;36.0;33.0;37.0;29.0;18.0;19.0;24.0;24.0;15.0;5.0;2.0
325032008_2;6.0;10.0;8.0;4.0;0.0;1.0;2.0;1.0;1.0;1.0;3.0;3.0;0.0;0.0;0.0;0.0
325032700_2;43.0;80.0;66.0;115.0;186.0;155.0;87.0;102.0;114.0;75.0;81.0;87.0;82.0;120.0;122.0;67.0
325033000_2;1.0;2.0;1.0;0.0;2.0;2.0;1.0;11.0;54.0;66.0;69.0;79.0;99.0;97.0;50.0;35.0
325034600_2;4.0;123.0;181.0;129.0;78.0;16.0;10.0;11.0;11.0;9.0;12.0;10.0;11.0;11.0;5.0;4.0
325036007_2;4.0;4.0;1.0;1.0;6.0;6.0;3.0;6.0;5.0;2.0;1.0;2.0;2.0;1.0;0.0;0.0
325036900_2;48.0;53.0;8.0;8.0;7.0;4.0;3.0;3.0;6.0;10.0;9.0;3.0;0.0;0.0;0.0;0.0
325037002_2;6.0;6.0;0.0;1.0;4.0;5.0;4.0;4.0;5.0;4.0;11.0;10.0;29.0;29.0;0.0;0.0
325037100_2;11.0;14.0;54.0;143.0;231.0;208.0;116.0;90.0;64.0;65.0;74.0;36.0;6.0;0.0;4.0;14.0
325037200_2;3.0;7.0;5.0;8.0;8.0;5.0;8.0;17.0;14.0;4.0;8.0;5.0;0.0;0.0;0.0;1.0
325039201_2;4.0;10.0;8.0;3.0;3.0;3.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
325047504_2;1.0;2.0;1.0;2.0;3.0;9.0;11.0;25.0;25.0;6.0;7.0;6.0;5.0;7.0;5.0;1.0
325047505_2;1.0;1.0;3.0;9.0;17.0;14.0;5.0;3.0;2.0;2.0;1.0;2.0;2.0;0.0;0.0;0.0
