;Product;Cluster;Centroid
658;3290032004205;7;('3330090008003',)
659;3290032005605;31;('3280057000000',)
660;3290032006005;27;('3320028000000',)
661;3290032007005;1;('3250001070000',)
662;3290033005605;18;('3339315570203',)
663;3290033006005;52;('3339315300002',)
664;3290033007605;18;('3339315570203',)
665;3290034004205;11;('32D0037030001',)
666;3290034005605;13;('3330095008003',)
667;3290034006005;28;('3339315615603',)
668;3290034007605;13;('3330095008003',)
669;3290034007905;24;('3329797626003',)
670;3290035001005;18;('3339315570203',)
671;3290035003705;28;('3339315615603',)
672;3290035005605;26;('3297852000000',)
673;3290035006005;40;('3280087000000',)
674;3290035007005;28;('3339315615603',)
675;3290036001505;13;('3330095008003',)
676;3290036003805;13;('3330095008003',)
677;3290036004205;40;('3280087000000',)
678;3290036007605;18;('3339315570203',)
679;3290036007905;13;('3330095008003',)
680;3290037001505;3;('3250003060000',)
681;3290037003605;18;('3339315570203',)
682;3290037006005;22;('3250635000000',)
683;3290038005605;10;('3320251005602',)
684;3290038006005;5;('3253666009000',)
685;3290038007005;24;('3329797626003',)
686;3290039003605;10;('3320251005602',)
687;3290039006005;26;('3297852000000',)
688;3290039007005;42;('3320069000000',)
689;3297852000000;26;('3297852000000',)
690;3297853000000;42;('3320069000000',)
691;32A0062009008;36;('3250711000000',)
692;32A0063009008;22;('3250635000000',)
693;32A0064009008;38;('3320049000000',)
694;32A0065009008;34;('3253100010000',)
695;32A0066009008;12;('3280001009000',)
696;32A0067009008;6;('32A7853367208',)
697;32A0068009008;1;('3250001070000',)
698;32A0069009008;25;('3250642000000',)
699;32A0070000008;13;('3330095008003',)
700;32A0070004400;37;('3330135005600',)
701;32A0070005600;11;('32D0037030001',)
702;32A0070006000;22;('3250635000000',)
703;32A0070007100;3;('3250003060000',)
704;32A0070007200;22;('3250635000000',)
705;32A7853019008;37;('3330135005600',)
706;32A7853029008;36;('3250711000000',)
707;32A7853039008;37;('3330135005600',)
708;32A7853049008;34;('3253100010000',)
709;32A7853059008;1;('3250001070000',)
710;32A7853069008;36;('3250711000000',)
711;32A7853079008;8;('3258806000000',)
712;32A7853089008;38;('3320049000000',)
713;32A7853099008;15;('3253698009000',)
714;32A7853109008;10;('3320251005602',)
715;32A7853119008;10;('3320251005602',)
716;32A7853120003;22;('3250635000000',)
717;32A7853130007;27;('3320028000000',)
718;32A7853140007;5;('3253666009000',)
719;32A7853150007;15;('3253698009000',)
720;32A7853169008;5;('3253666009000',)
721;32A7853170008;21;('3280021009000',)
722;32A7853180008;21;('3280021009000',)
723;32A7853260108;30;('3329797710103',)
724;32A7853261508;13;('3330095008003',)
725;32A7853262608;30;('3329797710103',)
726;32A7853263608;30;('3329797710103',)
727;32A7853266008;37;('3330135005600',)
728;32A7853273508;6;('32A7853367208',)
729;32A7853274408;6;('32A7853367208',)
730;32A7853276008;30;('3329797710103',)
731;32A7853277108;30;('3329797710103',)
732;32A7853277208;30;('3329797710103',)
733;32A7853278308;30;('3329797710103',)
734;32A7853283608;9;('3330092008003',)
735;32A7853284708;30;('3329797710103',)
736;32A7853287108;52;('3339315300002',)
737;32A7853287208;30;('3329797710103',)
738;32A7853288308;6;('32A7853367208',)
739;32A7853288508;30;('3329797710103',)
740;32A7853293608;30;('3329797710103',)
741;32A7853294408;30;('3329797710103',)
742;32A7853295608;9;('3330092008003',)
743;32A7853296008;52;('3339315300002',)
744;32A7853297108;6;('32A7853367208',)
745;32A7853303608;6;('32A7853367208',)
746;32A7853305608;22;('3250635000000',)
747;32A7853306008;16;('3330098005603',)
748;32A7853307108;6;('32A7853367208',)
749;32A7853307208;6;('32A7853367208',)
750;32A7853313608;6;('32A7853367208',)
751;32A7853314408;6;('32A7853367208',)
752;32A7853315608;48;('32A7853315608',)
753;32A7853316008;25;('3250642000000',)
754;32A7853317108;49;('3339315199003',)
755;32A7853321408;25;('3250642000000',)
756;32A7853325608;2;('3250001080000',)
757;32A7853326008;25;('3250642000000',)
758;32A7853327108;33;('3339315638303',)
759;32A7853328308;51;('3330086003603',)
760;32A7853333608;6;('32A7853367208',)
761;32A7853335608;16;('3330098005603',)
762;32A7853336008;16;('3330098005603',)
763;32A7853337108;16;('3330098005603',)
764;32A7853338308;16;('3330098005603',)
765;32A7853341508;16;('3330098005603',)
766;32A7853344408;16;('3330098005603',)
767;32A7853347108;16;('3330098005603',)
768;32A7853348508;16;('3330098005603',)
769;32A7853354408;16;('3330098005603',)
770;32A7853355608;49;('3339315199003',)
771;32A7853357108;16;('3330098005603',)
