;Product;Cluster;Centroid
585;3320252006102;31;('3280306006105',)
586;3320252007602;31;('3280306006105',)
587;3320349000000;20;('3251259000000',)
588;3320359019000;21;('32A0066009008',)
589;3320367009000;21;('32A0066009008',)
590;3320368009000;21;('32A0066009008',)
591;3320369009000;21;('32A0066009008',)
592;3321216000000;18;('3330104003703',)
593;3322905000000;30;('3253877009000',)
594;3323300000000;5;('3320090000000',)
595;3329797379003;32;('3252998000000',)
596;3329797389003;32;('3252998000000',)
597;3330001150002;18;('3330104003703',)
598;3330010010001;3;('3330085003803',)
599;3330011000000;32;('3252998000000',)
600;3330012000000;37;('3286144029000',)
601;3330013000000;29;('3330035000000',)
602;3330014000000;4;('38A9818040002',)
603;3330020000000;36;('3330078000003',)
604;3330022000000;36;('3330078000003',)
605;3330026000000;36;('3330078000003',)
606;3330027000000;29;('3330035000000',)
607;3330028000000;4;('38A9818040002',)
608;3330028010002;18;('3330104003703',)
609;3330029000000;32;('3252998000000',)
610;3330030000000;32;('3252998000000',)
611;3330031000000;21;('32A0066009008',)
612;3330032000000;7;('38A9818080002',)
613;3330033000000;20;('3251259000000',)
614;3330034000000;32;('3252998000000',)
615;3330035000000;29;('3330035000000',)
616;3330036000000;9;('3250648010000',)
617;3330037000000;2;('3253437009000',)
618;3330039000000;18;('3330104003703',)
619;3330040000000;12;('3320229003703',)
620;3330041000000;34;('3320020000000',)
621;3330042000000;32;('3252998000000',)
622;3330043000000;11;('3280057000000',)
623;3330044000000;28;('3252988000000',)
624;3330054000000;32;('3252998000000',)
625;3330061000000;29;('3330035000000',)
626;3330063000000;29;('3330035000000',)
627;3330064000000;29;('3330035000000',)
628;3330065000000;7;('38A9818080002',)
629;3330069000000;4;('38A9818040002',)
630;3330070000000;2;('3253437009000',)
631;3330072000000;4;('38A9818040002',)
632;3330073000000;32;('3252998000000',)
633;3330075000000;32;('3252998000000',)
634;3330076000000;32;('3252998000000',)
635;3330078000003;36;('3330078000003',)
636;3330079000003;36;('3330078000003',)
637;3330080000003;36;('3330078000003',)
638;3330082000103;18;('3330104003703',)
639;3330082001003;18;('3330104003703',)
640;3330082001203;25;('3280263004405',)
641;3330082001503;36;('3330078000003',)
642;3330082002603;25;('3280263004405',)
643;3330082003603;25;('3280263004405',)
644;3330082004603;18;('3330104003703',)
645;3330082005603;28;('3252988000000',)
646;3330082006003;32;('3252998000000',)
647;3330082006103;4;('38A9818040002',)
648;3330082007003;28;('3252988000000',)
649;3330083000203;18;('3330104003703',)
650;3330083003603;24;('3338866009002',)
651;3330083006003;3;('3330085003803',)
652;3330084000203;29;('3330035000000',)
653;3330084007003;32;('3252998000000',)
654;3330085003803;3;('3330085003803',)
655;3330085007903;14;('3320231002603',)
656;3330086000103;14;('3320231002603',)
657;3330086003603;18;('3330104003703',)
658;3330086007003;26;('32A7853130007',)
659;3330087000203;25;('3280263004405',)
660;3330087002603;25;('3280263004405',)
661;3330087003603;25;('3280263004405',)
662;3330087005603;9;('3250648010000',)
663;3330087007003;30;('3253877009000',)
664;3330089000203;13;('3330095005603',)
665;3330089005603;13;('3330095005603',)
666;3330089007003;23;('32A7853109008',)
667;3330089008003;37;('3286144029000',)
668;3330090000203;9;('3250648010000',)
669;3330090005603;9;('3250648010000',)
670;3330090007003;2;('3253437009000',)
671;3330090007403;1;('3320047000000',)
672;3330090008003;9;('3250648010000',)
673;3330090008503;9;('3250648010000',)
674;3330092005603;5;('3320090000000',)
675;3330092007003;5;('3320090000000',)
676;3330092008003;5;('3320090000000',)
677;3330094005603;18;('3330104003703',)
678;3330094007003;18;('3330104003703',)
679;3330094008003;18;('3330104003703',)
