;Product;Cluster;Centroid
172;326360004_2;9;331028600_2
173;326400003_2;5;326901900_2
174;326603100_2;5;326901900_2
175;326608300_2;4;328956467_2
176;326616801_2;8;336006600_2
177;326677000_2;11;335026000_2
178;326800900_2;1;331995271_2
179;326801201_2;8;336006600_2
180;326801500_2;1;331995271_2
181;326810000_2;2;335043401_2
182;326810100_2;14;335322901_2
183;326810107_2;4;328956467_2
184;326810500_2;2;335043401_2
185;326820000_2;2;335043401_2
186;326828000_2;18;331053700_2
187;326830101_2;7;335057700_2
188;326841600_2;5;326901900_2
189;326850105_2;8;336006600_2
190;326850801_2;18;331053700_2
191;326851500_2;17;335013800_2
192;326853501_2;14;335322901_2
193;326867500_2;2;335043401_2
194;326867900_2;14;335322901_2
195;326885200_2;9;331028600_2
196;326901800_2;7;335057700_2
197;326901900_2;5;326901900_2
198;326905500_2;7;335057700_2
199;326911100_2;17;335013800_2
200;326940200_2;5;326901900_2
201;326942000_2;10;331052300_2
202;326942100_2;15;335030700_2
203;326942200_2;14;335322901_2
204;326992300_2;1;331995271_2
205;326992400_2;7;335057700_2
206;326992500_2;18;331053700_2
207;326992601_2;10;331052300_2
208;327002700_2;9;331028600_2
209;327015900_2;16;331023300_2
210;327018900_2;15;335030700_2
211;327025200_2;2;335043401_2
212;327025300_2;5;326901900_2
213;327025500_2;13;338980000_2
214;327025800_2;5;326901900_2
215;327026100_2;16;331023300_2
216;327027400_2;11;335026000_2
217;327028400_2;2;335043401_2
218;327028600_2;9;331028600_2
219;327030600_2;15;335030700_2
220;327031700_2;2;335043401_2
221;327031800_2;9;331028600_2
222;327032600_2;5;326901900_2
223;327032700_2;16;331023300_2
224;327033200_2;5;326901900_2
225;327033900_2;9;331028600_2
226;327034400_2;11;335026000_2
227;327034500_2;2;335043401_2
228;327034600_2;9;331028600_2
229;327038300_2;5;326901900_2
230;327041700_2;14;335322901_2
231;327500000_2;2;335043401_2
232;327600001_2;17;335013800_2
233;327830200_2;2;335043401_2
234;327950203_2;9;331028600_2
235;328028100_2;3;331026700_2
236;328030900_2;19;345018600_2
237;328031000_2;18;331053700_2
238;328031100_2;13;338980000_2
239;328032700_2;17;335013800_2
240;328032800_2;4;328956467_2
241;328032900_2;4;328956467_2
242;328956402_2;17;335013800_2
243;328956403_2;17;335013800_2
244;328956404_2;17;335013800_2
245;328956405_2;17;335013800_2
246;328956452_2;10;331052300_2
247;328956453_2;19;345018600_2
248;328956454_2;18;331053700_2
249;328956455_2;18;331053700_2
250;328956456_2;13;338980000_2
251;328956457_2;13;338980000_2
252;328956458_2;18;331053700_2
253;328956459_2;18;331053700_2
254;328956460_2;13;338980000_2
255;328956461_2;5;326901900_2
256;328956462_2;16;331023300_2
257;328956463_2;16;331023300_2
258;328956464_2;18;331053700_2
259;328956465_2;19;345018600_2
260;328956466_2;4;328956467_2
261;328956467_2;4;328956467_2
262;328956468_2;4;328956467_2
263;328956469_2;4;328956467_2
264;32A004100_2;11;335026000_2
265;32A004200_2;16;331023300_2
266;32A004300_2;9;331028600_2
267;32A004400_2;3;331026700_2
268;32A004500_2;15;335030700_2
269;32A004600_2;11;335026000_2
