Product;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;Count
31A002600_2;1.5162047825447544;3.452696455648463;1.5162047825447544;3.452696455648463;1.5162047825447544;3.452696455648463;1.5162047825447544;3.452696455648463;1.5162047825447544;3.452696455648463;1.5162047825447544;3.452696455648463;1.5162047825447544;3.452696455648463;1.5162047825447544;3.452696455648463;41
331054200_2;0.07656427939545349;0.1910187311879744;0.7886382089265482;0.8714739651325508;1.1286045143650636;1.3567294833487866;0.6072880044881703;2.312607073889977;2.867110148556026;2.9355737704045204;2.769902257992515;2.1398801500661047;1.2574311005150927;0.7086768795920473;0.3579968012688439;0.2722866181913397;65
335027224_2;0.070867350033319;2.055153150966251;1.9842858009329318;4.21660732698248;2.8701276763494192;4.21660732698248;3.6851022017325876;2.728392976282781;2.657525626249462;2.196887851032889;2.6220919512328025;2.338622551099527;1.8071174258496343;3.0118623764160573;2.5512246011994835;1.9488521259162723;106
335027300_2;0.9557463387456178;1.4727894400342307;2.647887397508351;2.757563206872602;2.2248521328176674;0.40736729192436166;0.40736729192436166;0.2663555370274672;0.07833986383160801;0.07833986383160801;0.031335945532643204;0.015667972766321602;0.0;0.0;0.015667972766321602;0.0;246
335045300_2;1.7018752967221213;2.112672782137806;2.2887288473159564;2.9342677529691747;3.5798066586223936;2.230043492256573;2.582155622612874;2.9929531080285585;2.8755823979097914;1.7018752967221213;1.7018752967221213;1.4671338764845874;1.1150217461282865;0.5868535505938349;0.234741420237534;0.234741420237534;89
338019400_2;1.8118045952145192;2.6830548923668562;2.272181172687061;2.128622885088096;1.4702348764445687;0.2574148605222814;0.13365771604041535;0.054453143572021065;0.03960228623419714;0.014850857337823927;0.014850857337823927;0.01980114311709857;0.0;0.0;0.0;0.0;96
33C000400_2;0.958631638653096;3.9870361334890125;0.9804187213497573;0.7407608116864832;0.8932703905631122;1.2200766310130313;1.0675670521364022;0.32680624044991907;0.239657909663274;0.06536124808998381;0.021787082696661273;0.0;0.0;0.0;0.021787082696661273;0.0;32
349001400_2;0.7634670782633228;1.4081726110190176;1.6117638318892369;2.188605624354859;3.4440848197212115;1.7644572475419016;1.2215473252213165;0.8991945588434691;0.47504618203051197;0.2205571559427377;0.06786374029007314;0.06786374029007314;0.0;0.0;0.0;0.016965935072518284;157
34C990502_2;0.05134059245554384;0.16257854277588885;0.1754136908897748;0.3679409125980642;1.0610389107479061;1.3049067249117394;1.394752761708941;2.177696796655985;1.446093354164485;2.8579596466919406;1.7883639705347774;2.2846563642717013;2.708216252029938;2.010839871175467;2.7296081655530813;2.8066190542363967;77
36D290100_2;3.6725954284522433;2.6232824488944595;0.8744274829648199;0.9910178140267958;1.9237404625226038;0.9327226484958079;0.9910178140267958;0.8744274829648199;1.3407888072127239;0.8744274829648199;0.8161323174338319;0.23318066212395197;0.23318066212395197;0.0;0.0;0.0;19
