;Product;Cluster;Centroid
0;GBA001BND060FS;8;('GWF021CAE180FS',)
1;GBA001BND060SS;9;('GWM007NTA150FS',)
2;GBA001BND160FS;3;('TBG001BND180BV',)
3;GBA001BND250FS;5;('GKC005ESB100FS',)
4;GBA001BNR250FS;1;('GCO002BNR300FS',)
5;GBA001CAR070FS;1;('GCO002BNR300FS',)
6;GBA001CAR125FS;3;('TBG001BND180BV',)
7;GBA001CAR200FS;3;('TBG001BND180BV',)
8;GBA001CQT060SS;7;('GWJ012BND080FS',)
9;GBA001CQT125FS;9;('GWM007NTA150FS',)
10;GBA001DLZ080FS;5;('GKC005ESB100FS',)
11;GBA001FTG100FS;9;('GWM007NTA150FS',)
12;GBA001JLG100FS;7;('GWJ012BND080FS',)
13;GBA001JLG200FS;5;('GKC005ESB100FS',)
14;GBA001NEU250FS;8;('GWF021CAE180FS',)
15;GBA001NTA125FS;7;('GWJ012BND080FS',)
16;GBA001NTA200FS;10;('GBA005BND080FS',)
17;GBA001PAM070FP;5;('GKC005ESB100FS',)
18;GBA001PAM200FS;9;('GWM007NTA150FS',)
19;GBA001PQC070FS;7;('GWJ012BND080FS',)
20;GBA001PQC125FS;5;('GKC005ESB100FS',)
21;GBA001RTB150FP;10;('GBA005BND080FS',)
22;GBA001SGM100FS;9;('GWM007NTA150FS',)
23;GBA001SLX080FS;6;('GLV001SLX080FS',)
24;GBA001SPV090FP;9;('GWM007NTA150FS',)
25;GBA001SPV200FS;10;('GBA005BND080FS',)
26;GBA001VLR125FS;8;('GWF021CAE180FS',)
27;GBA003CQT100FS;9;('GWM007NTA150FS',)
28;GBA003ESB100FS;2;('GLI002BND200FS',)
29;GBA003PAM125FS;3;('TBG001BND180BV',)
30;GBA005BND080FS;10;('GBA005BND080FS',)
31;GBE001FTG400FS;5;('GKC005ESB100FS',)
32;GBE001PQC500FS;1;('GCO002BNR300FS',)
33;GBE004CQT400FS;9;('GWM007NTA150FS',)
34;GBF006BND125FR;9;('GWM007NTA150FS',)
35;GBF008BND265FR;9;('GWM007NTA150FS',)
36;GBF039BND125FR;9;('GWM007NTA150FS',)
37;GBF042BND120FR;8;('GWF021CAE180FS',)
38;GBF043BND115FR;8;('GWF021CAE180FS',)
39;GBF046BND115FR;8;('GWF021CAE180FS',)
40;GBF047BND115FR;8;('GWF021CAE180FS',)
41;GCE003BNR2K5FS;7;('GWJ012BND080FS',)
42;GCE003BNR5K0FS;9;('GWM007NTA150FS',)
43;GCH002BNR2K0FS;5;('GKC005ESB100FS',)
44;GCH004BND150DM;8;('GWF021CAE180FS',)
45;GCH004ESB200FS;8;('GWF021CAE180FS',)
46;GCH006BND200FS;5;('GKC005ESB100FS',)
47;GCH006BNR1K2FS;7;('GWJ012BND080FS',)
48;GCH006BRN200FS;7;('GWJ012BND080FS',)
49;GCH006CAR250FP;9;('GWM007NTA150FS',)
50;GCH006CQT200FS;7;('GWJ012BND080FS',)
51;GCH006DCO200FS;7;('GWJ012BND080FS',)
52;GCH006DLZ200FS;7;('GWJ012BND080FS',)
53;GCH006JLG200FP;9;('GWM007NTA150FS',)
54;GCH006NEU200FS;7;('GWJ012BND080FS',)
55;GCH006PQC200FS;7;('GWJ012BND080FS',)
56;GCH006RTB200FP;8;('GWF021CAE180FS',)
57;GCH006SLX200FS;6;('GLV001SLX080FS',)
58;GCH006VLR200FS;2;('GLI002BND200FS',)
59;GCO002BND060SS;7;('GWJ012BND080FS',)
60;GCO002BND080FS;7;('GWJ012BND080FS',)
61;GCO002BND100FS;9;('GWM007NTA150FS',)
62;GCO002BND160FS;7;('GWJ012BND080FS',)
63;GCO002BND250FS;9;('GWM007NTA150FS',)
64;GCO002BNG080FS;9;('GWM007NTA150FS',)
65;GCO002BNR250FS;7;('GWJ012BND080FS',)
66;GCO002BNR300FS;1;('GCO002BNR300FS',)
67;GCO002BRN100FP;7;('GWJ012BND080FS',)
68;GCO002CAE090FS;8;('GWF021CAE180FS',)
69;GCO002CAR080FS;1;('GCO002BNR300FS',)
70;GCO002CAR125FS;1;('GCO002BNR300FS',)
71;GCO002CAR200FS;1;('GCO002BNR300FS',)
72;GCO002CQT060SS;9;('GWM007NTA150FS',)
73;GCO002CQT125FS;9;('GWM007NTA150FS',)
74;GCO002DCO100FS;7;('GWJ012BND080FS',)
75;GCO002DLZ080FS;7;('GWJ012BND080FS',)
76;GCO002FTG100FS;7;('GWJ012BND080FS',)
77;GCO002JLG100FS;7;('GWJ012BND080FS',)
78;GCO002JLG200FS;7;('GWJ012BND080FS',)
79;GCO002MCD200FS;9;('GWM007NTA150FS',)
80;GCO002NEU080FS;9;('GWM007NTA150FS',)
81;GCO002NEU250FS;8;('GWF021CAE180FS',)
82;GCO002NEU300FS;8;('GWF021CAE180FS',)
83;GCO002NTA100FS;8;('GWF021CAE180FS',)
84;GCO002NTA200FS;8;('GWF021CAE180FS',)
85;GCO002PAM080FP;8;('GWF021CAE180FS',)
86;GCO002PAM200FS;9;('GWM007NTA150FS',)
87;GCO002PQC070FS;7;('GWJ012BND080FS',)
88;GCO002PQC125FS;7;('GWJ012BND080FS',)
89;GCO002SCV150FS;6;('GLV001SLX080FS',)
90;GCO002SGM100FS;9;('GWM007NTA150FS',)
91;GCO002SLX080FS;6;('GLV001SLX080FS',)
92;GCO002SLX150FS;6;('GLV001SLX080FS',)
93;GCO002SPV100FP;9;('GWM007NTA150FS',)
94;GCO002VLR125FS;8;('GWF021CAE180FS',)
95;GCO003CQT080FS;9;('GWM007NTA150FS',)
