;Product;Cluster;Centroid
340;GWS069BND125FS;12;('GLO002BNR250FS',)
341;GWS074BND125FS;6;('GWJ019NEU080FS',)
342;GWS076BND125FS;5;('TBG001BND180BV',)
343;GWS077BND150FS;5;('TBG001BND180BV',)
344;GWS081BND080DM;4;('GWP002MCD300FS',)
345;GWT025CQT150FP;8;('GWF002BRN165FS',)
346;GWT031ESE250BQ;4;('GWP002MCD300FS',)
347;GWT031SPV250BQ;10;('GLV001PAM080FP',)
348;GWT041BND120FS;3;('GLV001CAR125FS',)
349;GWU002BND180FS;1;('GWP002BNG080FS',)
350;GWW003BND100FS;8;('GWF002BRN165FS',)
351;GWW004BND100FS;8;('GWF002BRN165FS',)
352;GWW005BND140FS;4;('GWP002MCD300FS',)
353;GWW006BND100DM;4;('GWP002MCD300FS',)
354;GWW008BND120DM;3;('GLV001CAR125FS',)
355;GWW009BND120DM;3;('GLV001CAR125FS',)
356;GWX001BND100FS;12;('GLO002BNR250FS',)
357;GYB005NEU080FM;6;('GWJ019NEU080FS',)
358;GYB011NEU080FM;6;('GWJ019NEU080FS',)
359;GYD017NEU2K0FS;10;('GLV001PAM080FP',)
360;GYD018NEU2K0FS;6;('GWJ019NEU080FS',)
361;TBG001BND180BV;5;('TBG001BND180BV',)
362;TBG002BND180BV;5;('TBG001BND180BV',)
363;TBG003BND180BV;5;('TBG001BND180BV',)
364;TBG004BND180BV;5;('TBG001BND180BV',)
365;TCW001BND200FR;6;('GWJ019NEU080FS',)
366;TCW002BND200FR;6;('GWJ019NEU080FS',)
367;TPO001BND600BW;9;('TPO003BND600BW',)
368;TPO003BND600BW;9;('TPO003BND600BW',)
369;TPO004BND300BW;9;('TPO003BND600BW',)
370;TPO004BND600BW;9;('TPO003BND600BW',)
371;TPO005BND300BW;9;('TPO003BND600BW',)
372;TPO006BND600BW;9;('TPO003BND600BW',)
373;TPO008BND600BW;9;('TPO003BND600BW',)
374;TPO009BND300BW;9;('TPO003BND600BW',)
375;TPO011BND460CU;3;('GLV001CAR125FS',)
376;TPO012BND460CU;3;('GLV001CAR125FS',)
377;TPO013BND460CU;3;('GLV001CAR125FS',)
378;TPO014BND460CU;3;('GLV001CAR125FS',)
379;TPT002BND300BW;12;('GLO002BNR250FS',)
380;TTA001BND200FR;6;('GWJ019NEU080FS',)
381;TTA023BND200FR;6;('GWJ019NEU080FS',)
