;Product;Cluster;Centroid
0;GBA001BND060FS;10;('GBA001NEU250FS',)
1;GBA001BND060SS;1;('GBA001BND060SS',)
2;GBA001BND160FS;6;('GBA001CAR200FS',)
3;GBA001BND250FS;1;('GBA001BND060SS',)
4;GBA001BNR250FS;5;('GCO002CAR200FS',)
5;GBA001CAR070FS;8;('GCH004BND150DM',)
6;GBA001CAR125FS;6;('GBA001CAR200FS',)
7;GBA001CAR200FS;6;('GBA001CAR200FS',)
8;GBA001CQT060SS;12;('GWF002BRN165FS',)
9;GBA001CQT125FS;13;('GCH006CQT200FS',)
10;GBA001DLZ080FS;13;('GCH006CQT200FS',)
11;GBA001FTG100FS;9;('GLV001NEU080FS',)
12;GBA001JLG100FS;13;('GCH006CQT200FS',)
13;GBA001JLG200FS;2;('GLA001PAM150FS',)
14;GBA001NEU250FS;10;('GBA001NEU250FS',)
15;GBA001NTA125FS;13;('GCH006CQT200FS',)
16;GBA001NTA200FS;8;('GCH004BND150DM',)
17;GBA001PAM070FP;10;('GBA001NEU250FS',)
18;GBA001PAM200FS;13;('GCH006CQT200FS',)
19;GBA001PQC070FS;13;('GCH006CQT200FS',)
20;GBA001PQC125FS;1;('GBA001BND060SS',)
21;GBA001RTB150FP;10;('GBA001NEU250FS',)
22;GBA001SGM100FS;1;('GBA001BND060SS',)
23;GBA001SLX080FS;6;('GBA001CAR200FS',)
24;GBA001SPV090FP;9;('GLV001NEU080FS',)
25;GBA001SPV200FS;6;('GBA001CAR200FS',)
26;GBA001VLR125FS;8;('GCH004BND150DM',)
27;GBA003CQT100FS;4;('GWC020BNG150FS',)
28;GBA003ESB100FS;2;('GLA001PAM150FS',)
29;GBA003PAM125FS;3;('GCO003PAM125FS',)
30;GBA005BND080FS;10;('GBA001NEU250FS',)
31;GBE001FTG400FS;11;('GEP006BRN500FS',)
32;GBE001PQC500FS;11;('GEP006BRN500FS',)
33;GBE004CQT400FS;9;('GLV001NEU080FS',)
34;GBF006BND125FR;1;('GBA001BND060SS',)
35;GBF008BND265FR;9;('GLV001NEU080FS',)
36;GBF039BND125FR;1;('GBA001BND060SS',)
37;GBF042BND120FR;10;('GBA001NEU250FS',)
38;GBF043BND115FR;10;('GBA001NEU250FS',)
39;GBF046BND115FR;10;('GBA001NEU250FS',)
40;GBF047BND115FR;10;('GBA001NEU250FS',)
41;GCE003BNR2K5FS;13;('GCH006CQT200FS',)
42;GCE003BNR5K0FS;12;('GWF002BRN165FS',)
43;GCH002BNR2K0FS;11;('GEP006BRN500FS',)
44;GCH004BND150DM;8;('GCH004BND150DM',)
45;GCH004ESB200FS;8;('GCH004BND150DM',)
46;GCH006BND200FS;13;('GCH006CQT200FS',)
47;GCH006BNR1K2FS;13;('GCH006CQT200FS',)
48;GCH006BRN200FS;12;('GWF002BRN165FS',)
49;GCH006CAR250FP;1;('GBA001BND060SS',)
50;GCH006CQT200FS;13;('GCH006CQT200FS',)
51;GCH006DCO200FS;12;('GWF002BRN165FS',)
